indonesian,english
parodi,parody
parodi,travesty
pasti,absolute
pasti,certain
pasti,definite
pasti,doubtless
pasti,fixed
pasti,sure
pasti,undoubtly
pecah,break
pecah,broken
pecah,burst
pecah,busted
pecah,popped
pecah,shattered
peduli,care
peduli,pay attention
pelaku,culprit
pelaku,doer
pelaku,performer
pelaku,perp
pelaku,perpetrator
pelaku,perpretator
pelaku,player
pelaku kejahatan,criminal
pelaku kejahatan,culprit
pelaku kejahatan,perp
pelaku kejahatan,perpetrator
pelaku kejahatan,perpretator
pembela,advocate
pembela,apologist
pembela,defender
pembela,protector
pembela,vindicator
pemberani,daredevil
pemberani,daring
pemberani,fearless
pemberani,interpid
pemberontakan,betrayal
pemberontakan,insurgency
pemberontakan,rebelion
pemberontakan,rebellion
pemberontakan,revolt
pemberontakan,revolution
pemberontakan,uprising
penangkapan,apprehension
penangkapan,arrest
penangkapan,capture
penangkapan,catching
penangkapan,interception
penangkapan,trapping
pendukung,backer
pendukung,proponent
pendukung,supporter
penembakan,shooting
pengecut,chicken
pengecut,coward
pengecut,sissy
pengunjung,guest
pengunjung,visitor
penjara,big house
penjara,brig
penjara,cage
penjara,gaol
penjara,jail
penjara,lockup
penjara,penitentiary
penjara,prison
penjara,slammer
penjara,ward
penting,consequential
penting,critical
penting,essential
penting,important
penting,monumental
penting,notable
penting,prominent
penting,significant
penting,urgent
penting,vital
penuh,complete
penuh,crowded
penuh,full
penuh,packed
penuh,whole
penularan,contagion
penularan,infection
penularan,spread
penularan,spreading
penularan,transimission
penularan,transmission
penyelamat,rescuer
penyelamat,saver
penyelamat,savior
penyelidikan,inquiry
penyelidikan,investigation
perampok,bandit
perampok,hijacker
perampok,mugger
perampok,plunderer
perampok,robber
perang,battle
perang,war
perasaan,feeling
perasaan,heart
perasaan,sense
perasaan,sentiment
percaya,believe
percaya,trust
perdamaian,peace
peringatan,alert
peringatan,commemoration
peringatan,heads up
peringatan,memorial
peringatan,notice
peringatan,remembrance
peringatan,tip-off
peringatan,warning
perjuangan,battle
perjuangan,effort
perjuangan,fight
perjuangan,struggle
pertanyaan,query
pertanyaan,question
pertanyaan,questions
pertempuran,battle
pertempuran,combat
pertempuran,fight
pertempuran,war
pertempuran,warfare
pikir,ponder
pikir,think
pikir,thought
pikir,wonder
pintar,apt
pintar,big-brained
pintar,brainy
pintar,bright
pintar,brilliant
pintar,clever
pintar,cunning
pintar,intelligent
pintar,sharp-witted
pintar,smart
pintar,witty
populer,famous
populer,popular
positif,positive
potong,cut
potong,slice
puja,praise
puja,worship
puji,praise
pukul,beat
pukul,hit
pukul,o'clock
pukul,punch
pukul,spank
pukul,strike
pulih,get well
pulih,recover
pulih,restore
pulih,revert
pura,shrine
pura,temple
pusing,dizzy
pusing,faint
pusing,giddy
pusing,headache
racun,poison
racun,toxic
racun,toxin
racun,venom
rahmat,blessing
rahmat,godsend
rahmat,grace
rahmat,mercy
rampas,grab
rampas,rob
rampas,snatch
rampas,steal
rampas,take away
rampas,take over
rampas,yank
rampas,yoink
ras,ethnicity
ras,people
ras,race
raya,big
raya,celebration
raya,festivity
raya,grand
raya,great
raya,large
rela,accepting
rela,compliant
rela,ready
rela,willing
rindu,homesick
rindu,lonesome
rindu,longing
rindu,miss
rindu,yearning
runtuh,cave in
runtuh,collapse
runtuh,fall
runtuh,fall apart
runtuh,fall down
runtuh,tumblin down
sadar,awake
sadar,aware
sadar,cognizant
sadar,come round
sadar,conscious
sadar,know
sadar,mindful
sadar,realize
sadar,recognize
sadar,sensible
saham,holdings
saham,share
saham,stock
sakit,hurt
sakit,ill
sakit,pain
sakit,sick
sakit,sore
salah,amiss
salah,erroneous
salah,false
salah,fault
salah,incorrect
salah,mistaken
salah,off
salah,wrong
salam,greeting
salam,regards
salam,salutation
salut,salute
sama,alike
sama,common
sama,equal
sama,identical
sama,same
sama,similar
sama,with
samping,side
sangat,exceptionally
sangat,extremely
sangat,greatly
sangat,highly
sangat,immensely
sangat,most
sangat,really
sangat,sorely
sangat,terribly
sangat,very
santai,chill
santai,lounge
santai,relax
santai,relaxed
santai,sit around
sapa,greet
sapa,who
saran,advice
saran,idea
saran,offer
saran,proposition
saran,recommendation
saran,suggestion
sayang,baby
sayang,beloved
sayang,care
sayang,darling
sayang,dear
sayang,honey
sayang,love
sayang,pity
sayang,shame
sayang,sugar
sebab,because
sebab,cause
sebab,for
sebab,ground
sebab,in that
sebab,motive
sebab,reason
sebab,since
sebut,call out
sebut,cite
sebut,mention
sebut,refer
sebut,say
sebut,speak of
sedih,bitter
sedih,dejected
sedih,depressed
sedih,heartbroken
sedih,miserable
sedih,misserable
sedih,sad
sedih,sorrowful
sedih,unhappy
segan,disinclined
segan,reluctant
segan,shy
segan,timid
segan,unwilling
selamat,congratulations
selamat,happy
selamat,safe
selesai,close
selesai,complete
selesai,completed
selesai,finish
selesai,finished
selesai,over
selesai,wrap up
semangat,oomph
semangat,passion
semangat,spirit
semangat,vigor
sembunyi,hide
sembunyi,hide out
sembunyi,lay low
sembunyi,secret
semoga,hopefully
semoga,may
sempat,had time
sempat,have time
sempat,still able to
senang,fond of
senang,glad
senang,happy
senang,have fun
senang,like
senang,love
senang,pleased
sendiri,alone
sendiri,by oneself
sendiri,own
sendiri,self
sendiri,single
sendiri,solo
sendiri,unaccompanied
senjata,arms
senjata,gear
senjata,gun
senjata,weapon
senyum,grin
senyum,smile
seperti,alike
seperti,as if
seperti,as though
seperti,like
seperti,similar
seperti,similar to
sepi,deserted
sepi,desolate
sepi,empty
sepi,lonely
sepi,lonesome
sepi,quiet
sepi,silent
seragam,even
seragam,homogenous
seragam,same
seragam,uniform
seram,bone-chilling
seram,eerie
seram,grim
seram,scary
seram,sinister
seram,spooky
serang,assault
serang,attack
serang,charge
serang,offense
serang,rush
serang,strike
serangan,assault
serangan,attack
serangan,blow
serangan,hit
serangan,raid
serangan,strike
serikat,confederation
serikat,league
serikat,union
serikat,united
siap,prepared
siap,ready
siap,set
siap,steady
sigap,spry
sigap,steady
sigap,wide-awake
silahkan,after you
silahkan,if you will
silahkan,please
simpati,sympathy
simpatik,sympathetic
solidaritas,solidarity
sopan,civil
sopan,decent
sopan,genteel
sopan,kind
sopan,nice
sopan,polite
sopan,proper
sopan,refined
sopan,respectful
sopan,well-mannered
stres,stress
striker,striker
suap,bribe
suap,brown envelope
suap,graft
suap,hush money
suap,incentive
suap,something extra
suap,sweetener
suap,tip
suka,adore
suka,enjoy
suka,fancy
suka,fond of
suka,like
suka,love
sulit,arduous
sulit,complicated
sulit,convoluted
sulit,difficult
sulit,hard
sulit,intricate
sulit,tough
sulit,tricky
sulit,troublesome
sulit,uphill
super,really
super,super
super,very
surga,eden
surga,heaven
surga,nirvana
surga,paradise
surga,valhalla
susah,difficult
susah,hard
susah,inconvenient
susah,poor
susah,troublesome
tabah,determined
tabah,enduring
tabah,gritty
tabah,patient
tabah,resilient
tabah,steadfast
tabah,tough
tabrak,crash
tabrak,hit
tahan,bear
tahan,hold
tahan,hold in
tahan,persist
tahan,put up with
tahan,resist
tahan,stand
tahan,suppress
tahan,take it
tahan,tolerate
tahan,withstand
tahanan,captive
tahanan,custody
tahanan,detainee
tahanan,hostage
tahanan,inmate
tahanan,prisoner
tak kalah,able to compete
tak kalah,not half bad
tak kalah,not lose
tak kalah,not to be outdone
tak kalah,not too shabby
tak kalah,win
takut,afraid
takut,fearful
takut,scared
takut,shaking
takut,shivering
takut,spooked
tanggung jawab,commitment
tanggung jawab,duty
tanggung jawab,responsibility
tangis,cry
tangis,howl
tangis,mourning
tangis,sob
tangis,wail
tangis,weeping
tangkap,arrest
tangkap,capture
tangkap,catch
tantangan,challenge
tantangan,dare
tanya,ask
tanya,inquire
tanya,question
tegang,anxious
tegang,nervous
tegang,stiff
tegang,strained
tegang,tense
tegang,uptight
tegas,assertive
tegas,bold
tegas,decided
tegas,decisive
tegas,dominant
tegas,firm
tegas,resolute
tegas,rigid
tegas,strict
tembak,blast
tembak,gun
tembak,shoot
tempur,battle
tempur,combat
tempur,war
tenang,calm
tenang,chill
tenang,cool
tenang,peaceful
tenang,quiet
tenang,serene
tenang,tranquil
tenggelam,drown
tenggelam,drowned
tenggelam,go down
tenggelam,go under
tenggelam,sink
tentang,about
tentang,concerning
tentang,in regards to
tentang,pertaining to
tentang,regarding
tentu,absolute
tentu,certain
tentu,definite
tentu,fixed
tentu,of course
tentu,sure
teramat,immensely
teramat,incredibly
teramat,really
teramat,terribly
teramat,very
terbesar,biggest
terbesar,largest
terbunuh,cut down
terbunuh,killed
terbunuh,mugged
terbunuh,murdered
terbunuh,slain
terbunuh,slaughtered
terbunuh,snuffed out
terbunuh,taken care of
terganggu,agitated
terganggu,annoyed
terganggu,bothered
terganggu,distracted
terganggu,disturbed
terganggu,interrupted
terganggu,upset
tergantung,depend
tergantung,depends on
tergantung,hinges on
teriak,call
teriak,cry
teriak,scream
teriak,shout
teriak,yell
teriakan,call
teriakan,cry
teriakan,scream
teriakan,shout
teriakan,yell
terima,accept
terima,get
terima,obtain
terima,receive
terima kasih,thank you
terima kasih,thanks
terima kasih,thx
terima kasih,ty
terimakasih,thank you
terimakasih,thanks
terimakasih,thx
terimakasih,ty
terkejut,mind blown
terkejut,shock
terkejut,startled
terkejut,surprise
terkejut,surprised
terkejut,taken aback
terkena,affected
terkena,caught
terkena,got
terkena,infected
terkena,stricken
terkena,struck
terluka,hurt
terluka,injured
terluka,wounded
teror,terror
terpengaruh,affected
terpengaruh,influenced
terpengaruh,persuaded
terpengaruh,swayed
tersangka,defendant
tersangka,suspect
tersangka,the accused
tersinggung,hurt
tersinggung,insulted
tersinggung,offended
tersinggung,triggered
tertarik,attracted
tertarik,fascinated
tertarik,interested
tertentu,certain
tertentu,particular
tertentu,specific
tertinggal,left
tertinggal,left behind
tidak,no
tidak aman,not safe
tidak aman,unsafe
tinggal,just
tinggal,live
tinggal,remain
tinggal,reside
tinggal,stay
tingkat,class
tingkat,degree
tingkat,extent
tingkat,floor
tingkat,grade
tingkat,level
tingkat,stage
tingkat,step
tingkat,tier
tragedi,tragedy
trauma,trauma
tubuh,body
tubuh,physisque
tuduhan,accusation
tuduhan,allegation
tuduhan,charge
tuduhan,indictment
tukang jualan,merchant
tukang jualan,peddler
tukang jualan,salesman
tukang jualan,seller
tukang jualan,street vendor
tumpas,cut down
tumpas,destroy
tumpas,eliminate
tumpas,eradicate
tunda,cancel
tunda,delay
tunda,hold up
tunda,postpone
tunggu,wait
turun,decrease
turun,descennding
turun,down
turun,drop down
turun,fall off
turun,go down
turun,step down
tutup,cap
tutup,close
tutup,closed
tutup,cover
tutup,lid
tutup,top
uang,buck
uang,cash
uang,dough
uang,funds
uang,money
uang,nickel
uang,stacks
untung,fortune
untung,gain
untung,good luck
untung,profit
utuh,intact
utuh,perfect
utuh,undamaged
utuh,whole
wajib,mandatory
wajib,must
wajib,obligatory
wajib,required
waspada,alert
waspada,beware
waspada,careful
waspada,caution
waspada,wary
wow,whoa
wow,whoo
wow,wow
ya,ay
ya,aye
ya,uh huh
ya,yas
ya,ye
ya,yea
ya,yeah
ya,yep
ya,yes
ya,yup
yakin,assured
yakin,believe
yakin,certain
yakin,confident
yakin,sure
yakin,trust
